name,risk,effects,avoid_for,description
Sodium Lauryl Sulfate,High,"Skin irritation, dryness, eye irritation","Dry Skin,Sensitive Skin",Strong cleansing agent - may strip natural oils
Sodium Laureth Sulfate,Moderate,Skin irritation,"Sensitive Skin,Dry Skin",Cleansing agent - may contain impurities
Cocamidopropyl Betaine,Low,Minor allergic reactions,Sensitive Skin,Gentle coconut-derived cleanser
Decyl Glucoside,Low,Generally safe,Sensitive Skin,Plant-based gentle surfactant
Coco Glucoside,Low,Generally safe,None,Mild coconut-derived surfactant
Caprylyl/Capryl Glucoside,Low,Generally safe,None,Very gentle plant-based surfactant
Sodium Cocoyl Isethionate,Low,Generally safe,Sensitive Skin,Very gentle coconut cleanser
Sodium Cocoyl Glutamate,Low,Generally safe,Sensitive Skin,Amino acid-based cleanser
Potassium Cocoyl Glycinate,Low,Generally safe,Sensitive Skin,Mild amino acid surfactant
Sodium Methyl Cocoyl Taurate,Low,Generally safe,Sensitive Skin,Gentle coconut-derived surfactant
Disodium Cocoyl Glutamate,Low,Generally safe,Sensitive Skin,Amino acid-based cleanser
Lauryl Glucoside,Low,Generally safe,None,Plant-based gentle surfactant
Sodium Lauroyl Sarcosinate,Low,Generally safe,Sensitive Skin,Gentle cleansing agent
Sodium Lauroyl Methyl Isethionate,Low,Generally safe,Sensitive Skin,Mild coconut-derived cleanser
Cocamide DEA,Moderate,Potential carcinogen formation,Sensitive Skin,Foaming agent - may form nitrosamines
Cocamide MEA,Low,Generally safe,None,Coconut-derived foam booster
Ammonium Lauryl Sulfate,Moderate,"Skin irritation, dryness","Sensitive Skin,Dry Skin",Cleansing agent
Sodium Stearate,Low,Generally safe,None,Soap-making ingredient
Sodium Oleate,Low,Generally safe,None,Soap ingredient from olive oil
Potassium Cocoate,Low,Generally safe,None,Coconut oil derived soap
Phenoxyethanol,Low,Minor irritation,"Sensitive Skin,Infants",Popular preservative - safe at low concentrations
Methylparaben,Low,Generally safe,Sensitive Skin,Common preservative - paraben family
Ethylparaben,Low,Generally safe,Sensitive Skin,Preservative - paraben family
Propylparaben,Moderate,Hormone concerns,"Pregnancy,Sensitive Skin",Preservative - paraben family
Butylparaben,Moderate,Hormone disruption,"Pregnancy,Sensitive Skin",Preservative - paraben family
Methylisothiazolinone,High,Severe allergic reactions,"All,Sensitive Skin",Strong preservative - common allergen
Chloromethylisothiazolinone,High,Severe allergic reactions,"All,Sensitive Skin",Preservative - strong sensitizer
Imidazolidinyl Urea,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde releaser
Diazolidinyl Urea,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde releaser
DMDM Hydantoin,Moderate,Allergic reactions,"Sensitive Skin,Allergies",Preservative - formaldehyde donor
